x:  7,   y:  5,   tile: None
x:  6,   y:  5,   tile: None
x:  5,   y:  5,   tile: None
x:  4,   y:  5,   tile: None
x:  3,   y:  5,   tile: None
x:  2,   y:  5,   tile: None
x:  1,   y:  5,   tile: None
x:  1,   y:  4,   tile: None
x:  2,   y:  4,   tile: None
x:  3,   y:  4,   tile: None
x:  3,   y:  3,   tile: None
x:  2,   y:  3,   tile: None
x:  1,   y:  3,   tile: None
x:  0,   y:  3,   tile: None
x:  0,   y:  2,   tile: None
x:  0,   y:  1,   tile: None
x:  1,   y:  1,   tile: None
x:  1,   y:  2,   tile: None
x:  2,   y:  2,   tile: None
x:  3,   y:  2,   tile: None
x:  4,   y:  2,   tile: None
x:  5,   y:  2,   tile: None
x:  6,   y:  2,   tile: None
x:  6,   y:  1,   tile: None
x:  7,   y:  1,   tile: None
x:  7,   y:  2,   tile: None
x:  7,   y:  0,   tile: None
x:  7,   y:  3,   tile: None
x:  6,   y:  3,   tile: None
x:  5,   y:  3,   tile: None
x:  4,   y:  3,   tile: None
x:  6,   y:  4,   tile: None
x:  7,   y:  4,   tile: None
