x:  6,   y:  8,   tile: None
x:  7,   y:  8,   tile: None
x:  9,   y:  7,   tile: None
x:  8,   y:  7,   tile: None
x:  7,   y:  7,   tile: None
x:  6,   y:  7,   tile: None
x:  5,   y:  7,   tile: None
x:  4,   y:  7,   tile: None
x:  3,   y:  7,   tile: None
x:  2,   y:  7,   tile: None
x:  1,   y:  7,   tile: None
x:  0,   y:  7,   tile: None
x:  0,   y:  6,   tile: None
x:  1,   y:  6,   tile: None
x:  2,   y:  6,   tile: None
x:  3,   y:  6,   tile: None
x:  4,   y:  6,   tile: None
x:  5,   y:  6,   tile: None
x:  6,   y:  6,   tile: None
x:  7,   y:  6,   tile: None
x:  8,   y:  6,   tile: None
x:  9,   y:  6,   tile: None
x:  9,   y:  5,   tile: None
x:  8,   y:  5,   tile: None
x:  7,   y:  5,   tile: None
x:  6,   y:  5,   tile: None
x:  5,   y:  5,   tile: None
x:  4,   y:  5,   tile: None
x:  3,   y:  5,   tile: None
x:  2,   y:  5,   tile: None
x:  1,   y:  5,   tile: None
x:  0,   y:  5,   tile: None
x:  0,   y:  4,   tile: None
x:  0,   y:  3,   tile: None
x:  0,   y:  2,   tile: None
x:  1,   y:  2,   tile: None
x:  2,   y:  2,   tile: None
x:  2,   y:  3,   tile: None
x:  1,   y:  3,   tile: None
x:  1,   y:  4,   tile: None
x:  2,   y:  4,   tile: None
x:  3,   y:  4,   tile: None
x:  4,   y:  4,   tile: None
x:  4,   y:  3,   tile: None
x:  4,   y:  2,   tile: None
x:  5,   y:  2,   tile: None
x:  6,   y:  2,   tile: None
x:  7,   y:  2,   tile: None
x:  7,   y:  3,   tile: None
x:  7,   y:  4,   tile: None
x:  8,   y:  4,   tile: None
x:  9,   y:  4,   tile: None
x:  9,   y:  3,   tile: None
x:  8,   y:  3,   tile: None
x:  8,   y:  2,   tile: None
x:  9,   y:  2,   tile: None
x:  9,   y:  1,   tile: None
x:  9,   y:  0,   tile: None
x:  8,   y:  1,   tile: None
x:  7,   y:  1,   tile: None
x:  6,   y:  1,   tile: None
